_id,Company,Industry,Size,Website,Address,Annual Revenue,Notes,Logo
,TechWave Solutions,Technology,51-200,https://techwave.example.com,100 Tech Blvd San Francisco CA,25000000,Series B startup. Fast growing.,"[{""id"":""logo-1"",""filename"":""logo.png"",""url"":""https://images.unsplash.com/photo-1560179707-f14e90ef3623?w=200&q=80"",""mime_type"":""image/png"",""size"":5000}]"
,InnovateCorp,Technology,201-1000,https://innovatecorp.example.com,500 Innovation Way Boston MA,150000000,Enterprise software company.,"[{""id"":""logo-2"",""filename"":""logo.png"",""url"":""https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=200&q=80"",""mime_type"":""image/png"",""size"":5000}]"
,RetailPro Inc,Retail,201-1000,https://retailpro.example.com,200 Commerce St Chicago IL,85000000,National retail chain.,"[{""id"":""logo-3"",""filename"":""logo.png"",""url"":""https://images.unsplash.com/photo-1441986300917-64674bd600d8?w=200&q=80"",""mime_type"":""image/png"",""size"":5000}]"
,FinancePlus,Finance,51-200,https://financeplus.example.com,300 Wall St New York NY,45000000,Fintech startup. SOC2 compliant.,"[{""id"":""logo-4"",""filename"":""logo.png"",""url"":""https://images.unsplash.com/photo-1554469384-e58fac16e23a?w=200&q=80"",""mime_type"":""image/png"",""size"":5000}]"
,HealthTech Systems,Healthcare,1000+,https://healthtech.example.org,400 Medical Center Dr Houston TX,500000000,Hospital system. HIPAA required.,"[{""id"":""logo-5"",""filename"":""logo.png"",""url"":""https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d?w=200&q=80"",""mime_type"":""image/png"",""size"":5000}]"
,Global Manufacturing,Manufacturing,1000+,https://globalmfg.example.com,600 Industrial Park Detroit MI,750000000,Fortune 500 manufacturer.,"[{""id"":""logo-6"",""filename"":""logo.png"",""url"":""https://images.unsplash.com/photo-1565793298595-6a879b1d9492?w=200&q=80"",""mime_type"":""image/png"",""size"":5000}]"
,NextGen Startup,Technology,1-10,https://nextgen.example.io,50 Startup Lane Austin TX,500000,Pre-seed AI startup.,"[{""id"":""logo-7"",""filename"":""logo.png"",""url"":""https://images.unsplash.com/photo-1497366216548-37526070297c?w=200&q=80"",""mime_type"":""image/png"",""size"":5000}]"
,MediaCo,Technology,201-1000,https://mediaco.example.com,700 Media Plaza Los Angeles CA,120000000,Digital media company.,"[{""id"":""logo-8"",""filename"":""logo.png"",""url"":""https://images.unsplash.com/photo-1497215842964-222b430dc094?w=200&q=80"",""mime_type"":""image/png"",""size"":5000}]"
,LogisticsPro,Manufacturing,51-200,https://logisticspro.example.com,800 Shipping Way Atlanta GA,35000000,Supply chain software.,"[{""id"":""logo-9"",""filename"":""logo.png"",""url"":""https://images.unsplash.com/photo-1553413077-190dd305871c?w=200&q=80"",""mime_type"":""image/png"",""size"":5000}]"
,CloudFirst,Technology,11-50,https://cloudfirst.example.io,150 Cloud Ave Seattle WA,8000000,Cloud consulting firm.,"[{""id"":""logo-10"",""filename"":""logo.png"",""url"":""https://images.unsplash.com/photo-1451187580459-43490279c0fa?w=200&q=80"",""mime_type"":""image/png"",""size"":5000}]"
