_id,Address,Type,Price,Bedrooms,Bathrooms,Sqft,Status,Agent,Description,Photos
,123 Oak Street San Francisco CA,Single Family,1250000,4,2.5,2200,Active,Sarah Miller,Stunning Victorian home with modern updates. Original hardwood floors and crown molding.,"[{""id"":""photo-1"",""filename"":""property.jpg"",""url"":""https://images.unsplash.com/photo-1564013799919-ab600027ffc6?w=600&q=80"",""mime_type"":""image/jpeg"",""size"":20000}]"
,456 Marina Blvd San Francisco CA,Condo,875000,2,2,1100,Active,John Davis,Waterfront condo with Bay views. Building amenities include gym and rooftop deck.,"[{""id"":""photo-2"",""filename"":""property.jpg"",""url"":""https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=600&q=80"",""mime_type"":""image/jpeg"",""size"":20000}]"
,789 Hill Drive Oakland CA,Townhouse,680000,3,2,1650,Pending,Sarah Miller,End unit townhouse in quiet community. Private patio and 2-car garage.,"[{""id"":""photo-3"",""filename"":""property.jpg"",""url"":""https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=600&q=80"",""mime_type"":""image/jpeg"",""size"":20000}]"
,321 Pacific Ave Sausalito CA,Single Family,2100000,5,3.5,3200,Active,Michael Chen,Luxury hillside home with panoramic bay views. Recently renovated chef kitchen.,"[{""id"":""photo-4"",""filename"":""property.jpg"",""url"":""https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=600&q=80"",""mime_type"":""image/jpeg"",""size"":20000}]"
,555 Market Street San Francisco CA,Condo,525000,1,1,750,Active,John Davis,Modern downtown studio with floor-to-ceiling windows. Doorman building.,"[{""id"":""photo-5"",""filename"":""property.jpg"",""url"":""https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=600&q=80"",""mime_type"":""image/jpeg"",""size"":20000}]"
,888 Redwood Lane Palo Alto CA,Single Family,3500000,6,4,4500,Sold,Michael Chen,Estate property on 1 acre lot. Pool and guest house included.,"[{""id"":""photo-6"",""filename"":""property.jpg"",""url"":""https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=600&q=80"",""mime_type"":""image/jpeg"",""size"":20000}]"
,234 Valley Road Berkeley CA,Multi-Family,1450000,6,4,2800,Active,Lisa Wang,Duplex with excellent rental income potential. Both units currently leased.,"[{""id"":""photo-7"",""filename"":""property.jpg"",""url"":""https://images.unsplash.com/photo-1605276374104-dee2a0ed3cd6?w=600&q=80"",""mime_type"":""image/jpeg"",""size"":20000}]"
,567 Sunset Blvd Mill Valley CA,Townhouse,920000,3,2.5,1800,Pending,Lisa Wang,Contemporary townhouse with mountain views. Open floor plan with high ceilings.,"[{""id"":""photo-8"",""filename"":""property.jpg"",""url"":""https://images.unsplash.com/photo-1600047509807-ba8f99d2cdde?w=600&q=80"",""mime_type"":""image/jpeg"",""size"":20000}]"
,999 Coast Highway Pacifica CA,Land,450000,0,0,0,Off Market,Sarah Miller,Ocean view lot. Approved plans for 3-bedroom home available.,"[{""id"":""photo-9"",""filename"":""property.jpg"",""url"":""https://images.unsplash.com/photo-1500382017468-9049fed747ef?w=600&q=80"",""mime_type"":""image/jpeg"",""size"":20000}]"
,111 Downtown Plaza San Jose CA,Condo,650000,2,2,1050,Sold,John Davis,Luxury high-rise with city views. Concierge and valet parking.,"[{""id"":""photo-10"",""filename"":""property.jpg"",""url"":""https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=600&q=80"",""mime_type"":""image/jpeg"",""size"":20000}]"
